State,"Licensed/
Regulated","Legally Operating
Without Regulation","Invalid/
Not Reported",Total
Alabama,62%,38%,0%,100%
Alaska,77%,23%,0%,100%
American Samoa,54%,0%,46%,100%
Arizona,93%,7%,0%,100%
Arkansas,99%,0%,0%,100%
California,77%,23%,0%,100%
Colorado,81%,2%,16%,100%
Connecticut,64%,36%,0%,100%
Delaware,93%,7%,0%,100%
District of Columbia,99%,0%,0%,100%
Florida,92%,7%,0%,100%
Georgia,98%,2%,0%,100%
Guam,94%,6%,0%,100%
Hawaii,28%,72%,0%,100%
Idaho,80%,19%,0%,100%
Illinois,60%,39%,0%,100%
Indiana,73%,27%,0%,100%
Iowa,86%,14%,0%,100%
Kansas,84%,16%,0%,100%
Kentucky,96%,4%,0%,100%
Louisiana,87%,13%,0%,100%
Maine,89%,10%,1%,100%
Maryland,85%,13%,2%,100%
Massachusetts,100%,0%,0%,100%
Michigan,57%,43%,0%,100%
Minnesota,82%,18%,0%,100%
Mississippi,82%,18%,1%,100%
Missouri,69%,30%,0%,100%
Montana,89%,11%,0%,100%
Nebraska,89%,11%,0%,100%
Nevada,66%,33%,0%,100%
New Hampshire,88%,11%,1%,100%
New Jersey,93%,5%,2%,100%
New Mexico,82%,18%,0%,100%
New York,64%,36%,0%,100%
North Carolina,98%,1%,1%,100%
North Dakota,68%,32%,0%,100%
Northern Mariana Islands,76%,3%,21%,100%
Ohio,99%,0%,1%,100%
Oklahoma,100%,0%,0%,100%
Oregon,50%,50%,0%,100%
Pennsylvania,80%,19%,2%,100%
Puerto Rico,60%,38%,1%,100%
Rhode Island,99%,1%,0%,100%
South Carolina,81%,12%,7%,100%
South Dakota,85%,15%,0%,100%
Tennessee,91%,9%,0%,100%
Texas,98%,2%,0%,100%
Utah,70%,26%,4%,100%
Vermont,88%,10%,1%,100%
Virgin Islands,98%,1%,0%,100%
Virginia,86%,14%,0%,100%
Washington,82%,17%,0%,100%
West Virginia,97%,3%,0%,100%
Wisconsin,92%,0%,8%,100%
Wyoming,85%,15%,0%,100%